event_id,emp_id,period_start,period_end,hours_regular,hours_overtime,gross_pay,deductions,net_pay,jurisdiction,is_anomaly,anomaly_type
PE-EMP-00004-01,EMP-00004,2025-01-01,2025-01-30,164.1,4.9,4734.79,1083.09,3651.7,WA,False,none
PE-EMP-00004-02,EMP-00004,2025-01-31,2025-03-01,141.8,1.7,4599.88,1048.15,3551.73,WA,False,none
PE-EMP-00004-03,EMP-00004,2025-03-02,2025-03-31,163.7,4.2,4707.73,1011.51,3696.22,WA,False,none
PE-EMP-00004-04,EMP-00004,2025-04-01,2025-04-30,156.1,7.6,4851.44,1070.08,3781.36,WA,False,none
PE-EMP-00004-05,EMP-00004,2025-05-01,2025-05-30,160.0,1.6,4596.12,1082.91,3513.21,WA,False,none
PE-EMP-00004-06,EMP-00004,2025-05-31,2025-06-29,142.0,4.5,4720.37,1067.26,3653.11,WA,False,none
PE-EMP-00005-01,EMP-00005,2025-01-01,2025-01-30,156.5,3.6,6365.63,1300.94,5064.69,WA,False,none
PE-EMP-00005-02,EMP-00005,2025-01-31,2025-03-01,144.5,7.2,6576.79,1227.27,5349.52,WA,False,none
PE-EMP-00005-03,EMP-00005,2025-03-02,2025-03-31,145.8,10.4,6760.13,1508.29,5251.84,WA,False,none
PE-EMP-00005-04,EMP-00005,2025-04-01,2025-04-30,167.4,8.5,6650.27,1424.62,5225.65,WA,False,none
PE-EMP-00005-05,EMP-00005,2025-05-01,2025-05-30,159.4,2.6,6308.91,1558.05,4750.86,WA,False,none
PE-EMP-00005-06,EMP-00005,2025-05-31,2025-06-29,160.7,10.7,6775.59,1786.55,4989.04,WA,False,none
PE-EMP-00006-01,EMP-00006,2025-01-01,2025-01-30,143.2,0.0,6799.0,1629.09,5169.91,UK_national,False,none
PE-EMP-00006-02,EMP-00006,2025-01-31,2025-03-01,149.1,0.0,6799.0,1290.21,5508.79,UK_national,True,ghost_employee
PE-EMP-00006-03,EMP-00006,2025-03-02,2025-03-31,152.5,0.0,6799.0,1433.25,5365.75,UK_national,False,none
PE-EMP-00006-04,EMP-00006,2025-04-01,2025-04-30,151.4,0.0,6799.0,1630.58,5168.42,UK_national,False,none
PE-EMP-00006-05,EMP-00006,2025-05-01,2025-05-30,159.2,0.0,6799.0,1629.32,5169.68,UK_national,False,none
PE-EMP-00006-06,EMP-00006,2025-05-31,2025-06-29,163.0,0.0,6799.0,1446.42,5352.58,UK_national,False,none
PE-EMP-00007-01,EMP-00007,2025-01-01,2025-01-30,158.1,0.0,7249.0,1349.39,5899.61,DE_national,False,none
PE-EMP-00007-02,EMP-00007,2025-01-31,2025-03-01,146.1,0.0,7249.0,1405.52,5843.48,DE_national,False,none
PE-EMP-00007-03,EMP-00007,2025-03-02,2025-03-31,156.3,0.0,7249.0,1852.11,5396.89,DE_national,False,none
PE-EMP-00007-04,EMP-00007,2025-04-01,2025-04-30,162.7,0.0,7249.0,1853.63,5395.37,DE_national,False,none
PE-EMP-00007-05,EMP-00007,2025-05-01,2025-05-30,158.5,0.0,7249.0,1633.18,5615.82,DE_national,False,none
PE-EMP-00007-06,EMP-00007,2025-05-31,2025-06-29,148.2,0.0,7249.0,1751.05,5497.95,DE_national,False,none
PE-EMP-00008-01,EMP-00008,2025-01-01,2025-01-30,152.5,3.1,4415.1,1182.11,3232.99,federal,False,none
PE-EMP-00008-02,EMP-00008,2025-01-31,2025-03-01,148.4,11.9,4770.33,1182.83,3587.5,federal,False,none
PE-EMP-00008-03,EMP-00008,2025-03-02,2025-03-31,165.7,14.1,4856.21,1222.69,3633.52,federal,False,none
PE-EMP-00008-04,EMP-00008,2025-04-01,2025-04-30,165.6,14.9,4888.56,1164.81,3723.75,federal,False,none
PE-EMP-00008-05,EMP-00008,2025-05-01,2025-05-30,157.1,7.7,4599.0,1217.65,3381.35,federal,False,none
PE-EMP-00008-06,EMP-00008,2025-05-31,2025-06-29,163.9,0.9,4328.66,1169.2,3159.46,federal,False,none
PE-EMP-00009-01,EMP-00009,2025-01-01,2025-01-30,167.1,0.0,8081.0,1455.26,6625.74,WA,False,none
PE-EMP-00009-02,EMP-00009,2025-01-31,2025-03-01,155.7,0.0,8081.0,2245.46,5835.54,WA,False,none
PE-EMP-00009-03,EMP-00009,2025-03-02,2025-03-31,143.1,0.0,8081.0,1682.63,6398.37,WA,False,none
PE-EMP-00009-04,EMP-00009,2025-04-01,2025-04-30,140.9,0.0,8081.0,1803.45,6277.55,WA,False,none
PE-EMP-00009-05,EMP-00009,2025-05-01,2025-05-30,156.5,0.0,8081.0,1959.82,6121.18,WA,False,none
PE-EMP-00009-06,EMP-00009,2025-05-31,2025-06-29,159.9,0.0,8081.0,1782.69,6298.31,WA,False,none
PE-EMP-00010-01,EMP-00010,2025-01-01,2025-01-30,152.2,0.0,8650.0,1739.7,6910.3,DE_national,False,none
PE-EMP-00010-02,EMP-00010,2025-01-31,2025-03-01,144.9,0.0,8650.0,1677.29,6972.71,DE_national,False,none
PE-EMP-00010-03,EMP-00010,2025-03-02,2025-03-31,155.6,0.0,11715.79,2286.48,6363.52,DE_national,True,rate_violation
PE-EMP-00010-04,EMP-00010,2025-04-01,2025-04-30,150.1,0.0,8650.0,1917.91,6732.09,DE_national,False,none
PE-EMP-00010-05,EMP-00010,2025-05-01,2025-05-30,148.1,0.0,8650.0,2311.92,6338.08,DE_national,False,none
PE-EMP-00010-06,EMP-00010,2025-05-31,2025-06-29,143.5,0.0,8650.0,1567.04,7082.96,DE_national,False,none
PE-EMP-00011-01,EMP-00011,2025-01-01,2025-01-30,158.2,2.2,6821.39,1831.47,4989.92,FL,False,none
PE-EMP-00011-02,EMP-00011,2025-01-31,2025-03-01,158.4,14.6,7602.69,1471.71,6130.98,FL,False,none
PE-EMP-00011-03,EMP-00011,2025-03-02,2025-03-31,143.8,12.1,7443.76,1980.15,5463.61,FL,False,none
PE-EMP-00011-04,EMP-00011,2025-04-01,2025-04-30,165.0,10.4,7339.82,2004.0,5335.82,FL,False,none
PE-EMP-00011-05,EMP-00011,2025-05-01,2025-05-30,157.5,6.8,7113.23,1582.07,5531.16,FL,False,none
PE-EMP-00011-06,EMP-00011,2025-05-31,2025-06-29,163.0,5.8,7047.72,1427.69,5620.03,FL,False,none
PE-EMP-00012-01,EMP-00012,2025-01-01,2025-01-30,151.9,0.0,8473.0,1531.44,6941.56,TX,False,none
PE-EMP-00012-02,EMP-00012,2025-01-31,2025-03-01,153.9,0.0,8473.0,2144.44,6328.56,TX,False,none
PE-EMP-00012-03,EMP-00012,2025-03-02,2025-03-31,159.9,0.0,8473.0,1753.28,6719.72,TX,False,none
PE-EMP-00012-04,EMP-00012,2025-04-01,2025-04-30,165.9,0.0,8473.0,2013.48,6459.52,TX,False,none
PE-EMP-00012-05,EMP-00012,2025-05-01,2025-05-30,140.9,0.0,8473.0,1557.22,6915.78,TX,False,none
PE-EMP-00012-06,EMP-00012,2025-05-31,2025-06-29,153.5,0.0,8473.0,1837.44,6635.56,TX,False,none
PE-EMP-00013-01,EMP-00013,2025-01-01,2025-01-30,156.2,0.0,6934.0,1914.99,5019.01,CA,False,none
PE-EMP-00013-02,EMP-00013,2025-01-31,2025-03-01,142.2,0.0,6934.0,1754.43,5179.57,CA,False,none
PE-EMP-00013-03,EMP-00013,2025-03-02,2025-03-31,154.7,0.0,6934.0,1843.99,5090.01,CA,False,none
PE-EMP-00013-04,EMP-00013,2025-04-01,2025-04-30,161.0,0.0,6934.0,1441.87,5492.13,CA,False,none
PE-EMP-00013-05,EMP-00013,2025-05-01,2025-05-30,154.5,0.0,6934.0,1611.02,5322.98,CA,False,none
PE-EMP-00013-06,EMP-00013,2025-05-31,2025-06-29,157.1,0.0,6934.0,1418.16,5515.84,CA,False,none
PE-EMP-00014-01,EMP-00014,2025-01-01,2025-01-30,157.7,0.0,6916.0,1703.92,5212.08,NY,False,none
PE-EMP-00014-02,EMP-00014,2025-01-31,2025-03-01,158.7,0.0,6916.0,1717.99,5198.01,NY,False,none
PE-EMP-00014-03,EMP-00014,2025-03-02,2025-03-31,155.1,0.0,6916.0,1645.75,5270.25,NY,False,none
PE-EMP-00014-04,EMP-00014,2025-04-01,2025-04-30,157.2,0.0,6916.0,1869.8,5046.2,NY,False,none
PE-EMP-00014-05,EMP-00014,2025-05-01,2025-05-30,155.0,0.0,6916.0,1252.34,5663.66,NY,False,none
PE-EMP-00014-06,EMP-00014,2025-05-31,2025-06-29,152.7,0.0,6916.0,1871.51,5044.49,NY,False,none
PE-EMP-00015-01,EMP-00015,2025-01-01,2025-01-30,156.1,0.0,7605.0,1621.02,5983.98,UK_national,False,none
PE-EMP-00015-02,EMP-00015,2025-01-31,2025-03-01,149.9,0.0,7605.0,2112.49,5492.51,UK_national,False,none
PE-EMP-00015-03,EMP-00015,2025-03-02,2025-03-31,148.2,0.0,7605.0,1496.29,6108.71,UK_national,False,none
PE-EMP-00015-04,EMP-00015,2025-04-01,2025-04-30,159.5,0.0,7605.0,1823.4,5781.6,UK_national,False,none
PE-EMP-00015-05,EMP-00015,2025-05-01,2025-05-30,148.5,0.0,7605.0,1965.91,5639.09,UK_national,False,none
PE-EMP-00015-06,EMP-00015,2025-05-31,2025-06-29,147.3,0.0,7605.0,1847.48,5757.52,UK_national,False,none
PE-EMP-00016-01,EMP-00016,2025-01-01,2025-01-30,156.2,8.6,7306.74,1794.77,5511.97,FL,False,none
PE-EMP-00016-02,EMP-00016,2025-01-31,2025-03-01,148.2,11.1,7463.18,1363.75,6099.43,FL,False,none
PE-EMP-00016-03,EMP-00016,2025-03-02,2025-03-31,153.6,1.9,6882.6,1291.77,5590.83,FL,False,none
PE-EMP-00016-04,EMP-00016,2025-04-01,2025-04-30,161.9,3.8,7001.68,1691.46,5310.22,FL,False,none
PE-EMP-00016-05,EMP-00016,2025-05-01,2025-05-30,147.7,3.9,12015.42,1780.61,5225.73,FL,True,rate_violation
PE-EMP-00016-06,EMP-00016,2025-05-31,2025-06-29,156.9,13.7,7627.45,1936.58,5690.87,FL,False,none
PE-EMP-00017-01,EMP-00017,2025-01-01,2025-01-30,158.5,0.0,7670.0,1664.21,6005.79,UK_national,False,none
PE-EMP-00017-02,EMP-00017,2025-01-31,2025-03-01,144.9,0.0,7670.0,1980.8,5689.2,UK_national,False,none
PE-EMP-00017-03,EMP-00017,2025-03-02,2025-03-31,146.6,0.0,7670.0,1519.28,6150.72,UK_national,False,none
PE-EMP-00017-04,EMP-00017,2025-04-01,2025-04-30,154.8,0.0,7670.0,1405.98,6264.02,UK_national,False,none
PE-EMP-00017-05,EMP-00017,2025-05-01,2025-05-30,167.6,0.0,7670.0,2122.55,5547.45,UK_national,False,none
PE-EMP-00017-06,EMP-00017,2025-05-31,2025-06-29,156.7,0.0,7670.0,2010.86,5659.14,UK_national,False,none
PE-EMP-00018-01,EMP-00018,2025-01-01,2025-01-30,163.5,11.3,7609.4,1683.92,5925.48,CA,False,none
PE-EMP-00018-02,EMP-00018,2025-01-31,2025-03-01,150.7,9.9,7520.29,1899.62,5620.67,CA,False,none
PE-EMP-00018-03,EMP-00018,2025-03-02,2025-03-31,144.7,8.7,7440.06,1965.54,5474.52,CA,False,none
PE-EMP-00018-04,EMP-00018,2025-04-01,2025-04-30,141.5,4.0,7136.84,1869.52,5267.32,CA,False,none
PE-EMP-00018-05,EMP-00018,2025-05-01,2025-05-30,141.5,7.0,7330.0,1668.48,5661.52,CA,False,none
PE-EMP-00018-06,EMP-00018,2025-05-31,2025-06-29,153.3,14.2,7798.57,2123.13,5675.44,CA,False,none
PE-EMP-00019-01,EMP-00019,2025-01-01,2025-01-30,146.5,10.3,7008.58,1534.93,5473.65,NY,False,none
PE-EMP-00019-02,EMP-00019,2025-01-31,2025-03-01,147.4,8.0,6870.95,1535.47,5335.48,NY,False,none
PE-EMP-00019-03,EMP-00019,2025-03-02,2025-03-31,148.1,12.0,7110.91,1551.6,5559.31,NY,False,none
PE-EMP-00019-04,EMP-00019,2025-04-01,2025-04-30,148.8,8.0,6870.78,1893.5,4977.28,NY,False,none
PE-EMP-00019-05,EMP-00019,2025-05-01,2025-05-30,142.7,8.0,6871.72,1480.05,5391.67,NY,False,none
PE-EMP-00019-06,EMP-00019,2025-05-31,2025-06-29,163.6,9.2,6942.92,1702.45,5240.47,NY,False,none
PE-EMP-00020-01,EMP-00020,2025-01-01,2025-01-30,147.6,0.0,7996.0,1655.43,6340.57,CA,False,none
PE-EMP-00020-02,EMP-00020,2025-01-31,2025-03-01,162.5,0.0,7996.0,1643.45,6352.55,CA,False,none
PE-EMP-00020-03,EMP-00020,2025-03-02,2025-03-31,156.4,0.0,7996.0,1807.98,6188.02,CA,False,none
PE-EMP-00020-04,EMP-00020,2025-04-01,2025-04-30,158.9,0.0,7996.0,1632.62,6363.38,CA,False,none
PE-EMP-00020-05,EMP-00020,2025-05-01,2025-05-30,158.8,0.0,7996.0,2055.37,5940.63,CA,False,none
PE-EMP-00020-06,EMP-00020,2025-05-31,2025-06-29,154.6,0.0,7996.0,1981.18,6014.82,CA,False,none
PE-EMP-00021-01,EMP-00021,2025-01-01,2025-01-30,167.8,0.0,7600.0,1606.09,5993.91,NY,False,none
PE-EMP-00021-02,EMP-00021,2025-01-31,2025-03-01,140.3,0.0,7600.0,1374.44,6225.56,NY,False,none
PE-EMP-00021-03,EMP-00021,2025-03-02,2025-03-31,141.9,0.0,7600.0,1680.55,5919.45,NY,False,none
PE-EMP-00021-04,EMP-00021,2025-04-01,2025-04-30,154.7,0.0,7600.0,1888.98,5711.02,NY,False,none
PE-EMP-00021-05,EMP-00021,2025-05-01,2025-05-30,149.8,0.0,7600.0,1919.19,5680.81,NY,False,none
PE-EMP-00021-06,EMP-00021,2025-05-31,2025-06-29,147.1,0.0,7600.0,1393.87,6206.13,NY,False,none
PE-EMP-00022-01,EMP-00022,2025-01-01,2025-01-30,157.3,0.9,7050.95,1688.1,5362.85,WA,False,none
PE-EMP-00022-02,EMP-00022,2025-01-31,2025-03-01,165.0,3.3,7208.28,1729.54,5478.74,WA,False,none
PE-EMP-00022-03,EMP-00022,2025-03-02,2025-03-31,143.4,14.4,7937.16,1497.26,6439.9,WA,False,none
PE-EMP-00022-04,EMP-00022,2025-04-01,2025-04-30,156.9,5.6,7364.82,1888.24,5476.58,WA,False,none
PE-EMP-00022-05,EMP-00022,2025-05-01,2025-05-30,158.1,12.0,7785.09,1545.16,6239.93,WA,False,none
PE-EMP-00022-06,EMP-00022,2025-05-31,2025-06-29,143.1,2.8,7176.25,1503.11,5673.14,WA,False,none
PE-EMP-00023-01,EMP-00023,2025-01-01,2025-01-30,158.5,1.1,6221.54,1401.99,4819.55,FL,False,none
PE-EMP-00023-02,EMP-00023,2025-01-31,2025-03-01,167.9,11.5,6822.02,1700.2,5121.82,FL,False,none
PE-EMP-00023-03,EMP-00023,2025-03-02,2025-03-31,158.7,11.6,6822.68,1403.65,5419.03,FL,False,none
PE-EMP-00023-04,EMP-00023,2025-04-01,2025-04-30,161.9,4.2,6396.04,1191.19,5204.85,FL,False,none
PE-EMP-00023-05,EMP-00023,2025-05-01,2025-05-30,150.9,14.9,7018.19,1444.51,5573.68,FL,False,none
PE-EMP-00023-06,EMP-00023,2025-05-31,2025-06-29,162.8,2.7,6310.03,1179.6,5130.43,FL,False,none
PE-EMP-00024-01,EMP-00024,2025-01-01,2025-01-30,167.4,3.0,6188.85,1356.99,4831.86,DE_national,False,none
PE-EMP-00024-02,EMP-00024,2025-01-31,2025-03-01,158.1,1.6,6110.78,1430.31,4680.47,DE_national,False,none
PE-EMP-00024-03,EMP-00024,2025-03-02,2025-03-31,152.1,9.2,6538.67,1246.43,5292.24,DE_national,False,none
PE-EMP-00024-04,EMP-00024,2025-04-01,2025-04-30,152.4,3.9,6238.22,1144.63,5093.59,DE_national,False,none
PE-EMP-00024-05,EMP-00024,2025-05-01,2025-05-30,142.0,10.9,6634.81,1709.95,4924.86,DE_national,False,none
PE-EMP-00024-06,EMP-00024,2025-05-31,2025-06-29,140.5,7.5,6440.27,1579.71,4860.56,DE_national,False,none
PE-EMP-00025-01,EMP-00025,2025-01-01,2025-01-30,140.0,0.0,6946.0,1276.56,5669.44,CA,False,none
PE-EMP-00025-02,EMP-00025,2025-01-31,2025-03-01,150.9,0.0,6946.0,1355.59,5590.41,CA,False,none
PE-EMP-00025-03,EMP-00025,2025-03-02,2025-03-31,149.2,0.0,6946.0,1522.1,5423.9,CA,False,none
PE-EMP-00025-04,EMP-00025,2025-04-01,2025-04-30,140.1,0.0,6946.0,1741.78,5204.22,CA,False,none
PE-EMP-00025-05,EMP-00025,2025-05-01,2025-05-30,161.6,0.0,6946.0,1582.4,5363.6,CA,False,none
PE-EMP-00025-06,EMP-00025,2025-05-31,2025-06-29,151.3,0.0,6946.0,1755.79,5190.21,CA,False,none
PE-EMP-00026-01,EMP-00026,2025-01-01,2025-01-30,162.7,0.0,8778.0,1641.57,7136.43,NY,False,none
PE-EMP-00026-02,EMP-00026,2025-01-31,2025-03-01,146.3,0.0,8778.0,1917.49,6860.51,NY,False,none
PE-EMP-00026-03,EMP-00026,2025-03-02,2025-03-31,159.3,0.0,8778.0,2264.57,6513.43,NY,False,none
PE-EMP-00026-04,EMP-00026,2025-04-01,2025-04-30,143.4,0.0,8778.0,2049.93,6728.07,NY,False,none
PE-EMP-00026-05,EMP-00026,2025-05-01,2025-05-30,167.8,0.0,8778.0,1872.73,6905.27,NY,False,none
PE-EMP-00026-06,EMP-00026,2025-05-31,2025-06-29,148.5,0.0,8778.0,1628.49,7149.51,NY,False,none
PE-EMP-00027-01,EMP-00027,2025-01-01,2025-01-30,167.9,9.7,6841.63,1481.46,5360.17,TX,False,none
PE-EMP-00027-02,EMP-00027,2025-01-31,2025-03-01,163.9,5.1,6570.89,1735.49,4835.4,TX,False,none
PE-EMP-00027-03,EMP-00027,2025-03-02,2025-03-31,161.3,4.3,6526.7,1307.38,5219.32,TX,False,none
PE-EMP-00027-04,EMP-00027,2025-04-01,2025-04-30,155.5,14.5,7124.21,1753.08,5371.13,TX,False,none
PE-EMP-00027-05,EMP-00027,2025-05-01,2025-05-30,148.4,5.9,6615.02,1261.33,5353.69,TX,False,none
PE-EMP-00027-06,EMP-00027,2025-05-31,2025-06-29,159.3,7.3,6700.03,1799.1,4900.93,TX,False,none
PE-EMP-00028-01,EMP-00028,2025-01-01,2025-01-30,152.3,0.0,8030.0,1597.54,6432.46,FL,False,none
PE-EMP-00028-02,EMP-00028,2025-01-31,2025-03-01,141.0,0.0,8030.0,1465.77,6564.23,FL,False,none
PE-EMP-00028-03,EMP-00028,2025-03-02,2025-03-31,167.9,0.0,8030.0,1636.9,6393.1,FL,False,none
PE-EMP-00028-04,EMP-00028,2025-04-01,2025-04-30,150.9,0.0,8030.0,2081.97,5948.03,FL,False,none
PE-EMP-00028-05,EMP-00028,2025-05-01,2025-05-30,158.0,0.0,8030.0,1846.65,6183.35,FL,False,none
PE-EMP-00028-06,EMP-00028,2025-05-31,2025-06-29,167.0,0.0,8030.0,2097.26,5932.74,FL,False,none
PE-EMP-00029-01,EMP-00029,2025-01-01,2025-01-30,167.1,0.2,3831.83,819.74,3012.09,DE_national,False,none
PE-EMP-00029-02,EMP-00029,2025-01-31,2025-03-01,149.5,10.8,4210.62,928.66,3281.96,DE_national,False,none
PE-EMP-00029-03,EMP-00029,2025-03-02,2025-03-31,145.9,9.8,4174.52,969.79,3204.73,DE_national,False,none
PE-EMP-00029-04,EMP-00029,2025-04-01,2025-04-30,166.3,13.1,4290.83,1002.58,3288.25,DE_national,False,none
PE-EMP-00029-05,EMP-00029,2025-05-01,2025-05-30,160.7,3.5,3948.26,739.13,3209.13,DE_national,False,none
PE-EMP-00029-06,EMP-00029,2025-05-31,2025-06-29,160.6,7.3,4085.83,743.24,3342.59,DE_national,False,none
PE-EMP-00030-01,EMP-00030,2025-01-01,2025-01-30,165.4,9.3,7176.1,1465.85,5710.25,CA,False,none
PE-EMP-00030-02,EMP-00030,2025-01-31,2025-03-01,158.2,0.2,6615.34,1609.29,5006.05,CA,False,none
PE-EMP-00030-03,EMP-00030,2025-03-02,2025-03-31,165.3,12.3,7363.98,1397.16,5966.82,CA,False,none
PE-EMP-00030-04,EMP-00030,2025-04-01,2025-04-30,157.1,12.5,7377.55,1375.14,6002.41,CA,False,none
PE-EMP-00030-05,EMP-00030,2025-05-01,2025-05-30,162.9,1.7,6708.01,1606.55,5101.46,CA,False,none
PE-EMP-00030-06,EMP-00030,2025-05-31,2025-06-29,157.2,0.9,6660.59,1333.88,5326.71,CA,False,none
PE-EMP-00031-01,EMP-00031,2025-01-01,2025-01-30,149.4,12.5,7514.39,1907.1,5607.29,NY,False,none
PE-EMP-00031-02,EMP-00031,2025-01-31,2025-03-01,151.3,1.8,6838.23,1698.68,5139.55,NY,False,none
PE-EMP-00031-03,EMP-00031,2025-03-02,2025-03-31,155.3,4.8,7028.08,1943.05,5085.03,NY,False,none
PE-EMP-00031-04,EMP-00031,2025-04-01,2025-04-30,146.0,0.7,6767.1,1335.45,5431.65,NY,False,none
PE-EMP-00031-05,EMP-00031,2025-05-01,2025-05-30,141.8,4.1,6982.98,1785.93,5197.05,NY,False,none
PE-EMP-00031-06,EMP-00031,2025-05-31,2025-06-29,144.7,5.5,7073.79,1390.0,5683.79,NY,False,none
PE-EMP-00032-01,EMP-00032,2025-01-01,2025-01-30,146.8,8.7,6568.94,1270.02,5298.92,federal,False,none
PE-EMP-00032-02,EMP-00032,2025-01-31,2025-03-01,162.1,9.5,6611.82,1438.82,5173.0,federal,False,none
PE-EMP-00032-03,EMP-00032,2025-03-02,2025-03-31,144.4,13.2,6823.09,1283.23,5539.86,federal,False,none
PE-EMP-00032-04,EMP-00032,2025-04-01,2025-04-30,140.2,13.9,6862.81,1720.33,5142.48,federal,False,none
PE-EMP-00032-05,EMP-00032,2025-05-01,2025-05-30,156.6,4.3,6314.27,1574.47,4739.8,federal,False,none
PE-EMP-00032-06,EMP-00032,2025-05-31,2025-06-29,162.2,7.1,6478.46,1248.33,5230.13,federal,False,none
PE-EMP-00033-01,EMP-00033,2025-01-01,2025-01-30,144.0,4.1,6801.65,1530.66,5270.99,FL,False,none
PE-EMP-00033-02,EMP-00033,2025-01-31,2025-03-01,146.7,2.6,6712.83,1672.62,5040.21,FL,False,none
PE-EMP-00033-03,EMP-00033,2025-03-02,2025-03-31,156.7,10.8,7212.81,1739.77,5473.04,FL,False,none
PE-EMP-00033-04,EMP-00033,2025-04-01,2025-04-30,142.5,12.4,7313.5,1536.71,5776.79,FL,False,none
PE-EMP-00033-05,EMP-00033,2025-05-01,2025-05-30,151.7,8.4,7065.86,1407.45,5658.41,FL,False,none
PE-EMP-00033-06,EMP-00033,2025-05-31,2025-06-29,167.6,14.7,7451.99,1802.58,5649.41,FL,False,none
PE-EMP-00034-01,EMP-00034,2025-01-01,2025-01-30,164.2,0.0,8126.0,2264.54,5861.46,DE_national,False,none
PE-EMP-00034-02,EMP-00034,2025-01-31,2025-03-01,154.2,0.0,8126.0,1839.9,6286.1,DE_national,False,none
PE-EMP-00034-03,EMP-00034,2025-03-02,2025-03-31,157.5,0.0,8126.0,1631.79,6494.21,DE_national,False,none
PE-EMP-00034-04,EMP-00034,2025-04-01,2025-04-30,141.5,0.0,8126.0,1554.24,6571.76,DE_national,False,none
PE-EMP-00034-05,EMP-00034,2025-05-01,2025-05-30,144.2,0.0,8126.0,2148.34,5977.66,DE_national,False,none
PE-EMP-00034-06,EMP-00034,2025-05-31,2025-06-29,165.5,0.0,8126.0,1866.96,6259.04,DE_national,False,none
PE-EMP-00035-01,EMP-00035,2025-01-01,2025-01-30,144.5,13.8,7187.48,1332.58,5854.9,UK_national,False,none
PE-EMP-00035-02,EMP-00035,2025-01-31,2025-03-01,150.2,3.1,6549.51,1343.55,5205.96,UK_national,False,none
PE-EMP-00035-03,EMP-00035,2025-03-02,2025-03-31,157.3,13.4,7158.32,1612.88,5545.44,UK_national,True,ghost_employee
PE-EMP-00035-04,EMP-00035,2025-04-01,2025-04-30,142.9,0.8,6408.93,1498.0,4910.93,UK_national,False,none
PE-EMP-00035-05,EMP-00035,2025-05-01,2025-05-30,144.4,0.4,6388.0,1478.76,4909.24,UK_national,False,none
PE-EMP-00035-06,EMP-00035,2025-05-31,2025-06-29,142.0,3.5,6572.51,1475.41,5097.1,UK_national,False,none
PE-EMP-00036-01,EMP-00036,2025-01-01,2025-01-30,156.2,6.3,3983.7,1014.68,2969.02,NY,False,none
PE-EMP-00036-02,EMP-00036,2025-01-31,2025-03-01,165.2,3.5,3883.71,741.84,3141.87,NY,False,none
PE-EMP-00036-03,EMP-00036,2025-03-02,2025-03-31,146.4,3.6,3887.44,860.13,3027.31,NY,False,none
PE-EMP-00036-04,EMP-00036,2025-04-01,2025-04-30,145.6,13.4,4233.56,793.17,3440.39,NY,False,none
PE-EMP-00036-05,EMP-00036,2025-05-01,2025-05-30,156.4,0.8,3790.75,847.56,2943.19,NY,False,none
PE-EMP-00036-06,EMP-00036,2025-05-31,2025-06-29,146.1,9.1,4084.41,807.92,3276.49,NY,False,none
PE-EMP-00037-01,EMP-00037,2025-01-01,2025-01-30,150.5,0.0,6894.0,1556.49,5337.51,FL,False,none
PE-EMP-00037-02,EMP-00037,2025-01-31,2025-03-01,145.4,0.0,6894.0,1488.13,5405.87,FL,False,none
